EffectiveDate,EmployeeID,FirstName,LastName,DateOfBirth,PhoneNumber,Email,EmploymentStatus,HireDate,TerminationDate,Department
2025-07-02,M00001,Mark,Castro,1994-02-14,8483396947,kyleblair@hotmail.com,Leave,2022-01-20,,Finance
2025-07-02,M00002,Sally,Walker,1995-01-18,5159179533,john51@gmail.com,Active,2021-07-09,,Finance
2025-07-02,M00003,Keith,Davis,2002-06-15,4135256012,tamaramorrison@hotmail.com,Active,2017-12-04,,Sales
2025-07-02,M00004,Joshua,Cain,1987-01-29,3098910139,sandrakirby@leblanc.net,Leave,2022-01-18,,HR
2025-07-02,M00005,Melissa,Robinson,1994-01-16,1615109032,nathanjackson@cabrera-garcia.com,Terminated,2019-03-01,2021-07-03,IT
2025-07-02,M00006,Jeffrey,Lucas,1967-04-27,7300869141,gilesandrew@oliver-huff.com,Terminated,2016-10-04,2019-12-19,Operations
2025-07-02,M00007,Candice,Ramos,1995-03-06,4562087091,tammybrown@moore.com,Leave,2021-06-17,,HR
2025-07-02,M00008,Chelsea,Nunez,1966-05-27,6345792302,johnbenton@yahoo.com,Active,2018-06-23,,Sales
2025-07-02,M00009,Ernest,Walker,1986-08-14,5841972076,smithjames@yahoo.com,Active,2017-10-02,,Sales
2025-07-02,M00010,Amy,Mccarty,1991-04-09,8456428071,dnguyen@lamb.com,Terminated,2023-02-15,2023-04-05,Operations
2025-07-02,M00011,Courtney,Johnson,1974-05-21,0842375945,craignash@yahoo.com,Active,2016-12-02,,Sales
2025-07-02,M00012,Troy,Schneider,1973-05-19,9246610935,sheena09@hotmail.com,Active,2023-03-17,,IT
2025-07-02,M00013,Blake,Martin,1995-02-18,3769606960,jennifer59@gmail.com,Active,2023-04-22,,IT
2025-07-02,M00014,Regina,Wells,1990-01-23,1427878900,kevin11@hotmail.com,Terminated,2020-06-05,2025-02-03,Sales
2025-07-02,M00015,Keith,Mora,1973-12-18,4706381206,gonzalezjeffrey@smith-long.net,Active,2021-05-07,,IT
2025-07-02,M00016,Daniel,Ellis,1994-04-16,6503008913,nsanders@williams.com,Active,2019-03-13,,HR
2025-07-02,M00017,Natalie,Simpson,2002-09-07,3442176104,hintontonya@elliott.biz,Leave,2021-08-27,,IT
2025-07-02,M00018,Zachary,Sexton,1999-06-03,1428512400,jennifer71@gmail.com,Active,2020-12-26,,Operations
2025-07-02,M00019,Keith,Santana,1980-10-26,4855909776,gregorylinda@mooney.com,Leave,2016-08-18,,Sales
2025-07-02,M00020,Lisa,Brown,1998-04-26,8236940224,sherri46@yahoo.com,Terminated,2022-08-11,2025-03-11,Operations
